,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,11066,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19702053.0,19702053.0,False,,1,,,,2024-05-23T03:48:00.000Z,69296.52354801007,31690986677.96164,-21.8738,-0.225844,-0.94151145,4.9513886,4.04904153,8.02344855,35.69266458,1365283779658.6423,52.9271,1455226994508.21,,2024-05-23T03:48:00.000Z,,,,,,2024-05-23 03:50:35.880803
1,1027,Ethereum,ETH,ethereum,8982,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120129946.07577217,120129946.07577217,True,,2,,,,2024-05-23T03:48:00.000Z,3765.1955420581003,24626068035.32476,-26.4816,-0.10685436,-0.65159111,24.89133385,18.02330051,13.2654916,27.52378577,452312737432.1773,17.5345,452312737432.18,,2024-05-23T03:48:00.000Z,,,,,,2024-05-23 03:50:35.880803
2,825,Tether USDt,USDT,tether,86223,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,111752623506.75847,115086550436.14526,True,,3,,,,2024-05-23T03:48:00.000Z,0.9993854591152355,73709725569.94821,-21.2717,-0.01813857,-0.04488412,-0.0861017,-0.14890845,-0.08764134,-0.01884093,111683946950.63387,4.3296,115015825045.62,,2024-05-23T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-05-23 03:50:35.880803
3,1839,BNB,BNB,bnb,2166,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147586002.5090176,147586002.5090176,False,,4,,,,2024-05-23T03:48:00.000Z,613.772227045026,2081296284.9136865,-35.1901,-0.21481711,-1.20684058,5.03116741,1.68703321,11.21764757,62.20416114,90584189440.63252,3.5116,90584189440.63,,2024-05-23T03:48:00.000Z,,,,,,2024-05-23 03:50:35.880803
4,5426,Solana,SOL,solana,662,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,449161848.06813776,576475694.6831913,True,,5,,,,2024-05-23T03:48:00.000Z,178.09724421825717,3781475784.5303636,-6.85,0.12855002,0.37782264,9.00033706,14.07769126,3.0053337,75.29761609,79994487348.91486,3.1011,102668732581.88,,2024-05-23T03:48:00.000Z,,,,,,2024-05-23 03:50:35.880803
5,3408,USDC,USDC,usd-coin,19324,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,33070598220.435226,33070598220.435226,False,,6,,,,2024-05-23T03:48:00.000Z,1.000050595535146,7950461595.274831,-18.7297,-0.00131279,0.00768271,0.01363098,-0.0250791,-0.00198305,-0.00443559,33072271445.049786,1.2821,33072271445.05,,2024-05-23T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-05-23 03:50:35.880803
6,52,XRP,XRP,xrp,1323,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55288951055.0,99987612649.0,False,,7,,,,2024-05-23T03:49:00.000Z,0.5283753618195287,1180391910.531654,-34.6337,0.19285795,-1.42432091,1.9839826,-3.96365834,-14.32522592,-1.71399517,29213319518.30784,1.1325,52837536181.95,,2024-05-23T03:49:00.000Z,,,,,,2024-05-23 03:50:35.880803
7,74,Dogecoin,DOGE,dogecoin,970,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144402326383.70523,144402326383.70523,True,,8,,,,2024-05-23T03:49:00.000Z,0.16690936449616645,1682337806.5065591,-40.4896,0.07860435,-2.43504811,5.77769254,4.90028517,-2.0138204,99.1665195,24102100528.472248,0.9344,24102100528.47,,2024-05-23T03:49:00.000Z,,,,,,2024-05-23 03:50:35.880803
8,11419,Toncoin,TON,toncoin,338,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3474576155.8306537,5106867632.579608,True,,9,3414166606.0,22558440998.096485,,2024-05-23T03:48:00.000Z,6.607305266958166,347788939.0717098,31.8224,-1.11120258,5.04462036,-5.55063267,11.43519816,31.48641611,218.91754897,22957585334.867134,0.89,33742633406.4,,2024-05-23T03:48:00.000Z,,,,,,2024-05-23 03:50:35.880803
9,2010,Cardano,ADA,cardano,1182,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35684090332.317,36897711934.961,False,,10,,,,2024-05-23T03:48:00.000Z,0.484436053411556,407302454.8317286,-16.0008,0.31657832,-1.57235608,5.81511802,-5.28326406,-23.10789266,-17.22137048,17286659890.16911,0.6701,21799622403.52,,2024-05-23T03:48:00.000Z,,,,,,2024-05-23 03:50:35.880803
